"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []","Voltage [V]"
5.7816004224,-0.0002183995776,0,0.005,1,0,0,2.26171327238444,0.979639155536349
5.803500424,-0.000196499576,0,0.005,1,0,0,2.85383749717015,0.979583140251331
5.8254004256,-0.0001745995744,0,0.005,1,0,0,3.44596172195587,0.979514157444841
5.8473004272,-0.0001526995728,0,0.005,1,0,0,4.76854251428342,0.979428246158695
5.8692004288,-0.0001307995712,0,0.005,1,0,0,6.83036337964683,0.979301238129878
5.8911004304,-0.0001088995696,0,0.005,1,0,0,8.89218424501025,0.979129076220809
5.913000432,-8.69995679999995E-005,0,0.005,1,0,0,20.4694179497194,0.978903775916683
5.9349004336,-6.50995663999998E-005,0,0.005,1,0,0,43.020071894163,0.978208565952101
5.9568004352,-4.99992E-005,0,0.0049932003648,0,0,-1,99.720874481285,0.976755030055454
5.9787004368,-4.99992E-005,0,0.0049713003632,0,0,-1,91.7124223168671,0.974658835302368
6.0006004384,-4.99992E-005,0,0.0049494003616,0,0,-1,86.7051162935414,0.972728444056214
6.02250044,-4.99992E-005,0,0.00492750036,0,0,-1,87.8573578572846,0.970816984824613
6.0444004416,-4.99992E-005,0,0.0049056003584,0,0,-1,88.8217153786684,0.968880720615904
6.0663004432,-4.99992E-005,0,0.0048837003568,0,0,-1,89.4388987648634,0.966928766748424
6.0882004448,-4.99992E-005,0,0.0048618003552,0,0,-1,90.0560821510585,0.964963296563799
6.1101004464,-4.99992E-005,0,0.0048399003536,0,0,-1,90.6732655372535,0.962984310062028
6.132000448,-4.99992E-005,0,0.004818000352,0,0,-1,91.2904489234486,0.960991807243113
6.1539004496,-4.99992E-005,0,0.0047961003504,0,0,-1,91.5611253745957,0.958990582249305
6.1758004512,-4.99992E-005,0,0.0047742003488,0,0,-1,91.9354077452257,0.956981295064846
6.1977004528,-4.99992E-005,0,0.0047523003472,0,0,-1,92.3096901158559,0.954963811095871
