"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
3.83250028,-0.001,0,0.00616749972,0,0,-1,4.01567820511364
3.8544002816,-0.001,0,0.0061455997184,0,0,-1,4.01539348403919
3.8763002832,-0.001,0,0.0061236997168,0,0,-1,4.01510876296473
3.8982002848,-0.001,0,0.0061017997152,0,0,-1,4.01882435456378
3.9201002864,-0.001,0,0.0060798997136,0,0,-1,4.01717159587152
3.942000288,-0.001,0,0.006057999712,0,0,-1,4.01551883717927
3.9639002896,-0.001,0,0.0060360997104,0,0,-1,4.01386607848702
3.9858002912,-0.001,0,0.0060141997088,0,0,-1,4.01221331979477
4.0077002928,-0.001,0,0.0059922997072,0,0,-1,4.01056056110251
4.0296002944,-0.001,0,0.0059703997056,0,0,-1,4.00890780241026
4.051500296,-0.001,0,0.005948499704,0,0,-1,4.007255043718
4.0734002976,-0.001,0,0.0059265997024,0,0,-1,4.00560228502575
4.0953002992,-0.001,0,0.0059046997008,0,0,-1,4.0039495263335
4.1172003008,-0.001,0,0.0058827996992,0,0,-1,4.00229676764125
4.1391003024,-0.001,0,0.0058608996976,0,0,-1,4.00064400894899
4.161000304,-0.001,0,0.005838999696,0,0,-1,3.99899125025674
4.1829003056,-0.001,0,0.0058170996944,0,0,-1,3.99733849156449
4.2048003072,-0.001,0,0.0057951996928,0,0,-1,3.99568573287223
4.2267003088,-0.001,0,0.0057732996912,0,0,-1,3.99403297417998
4.2486003104,-0.001,0,0.0057513996896,0,0,-1,3.99238021548773
4.270500312,-0.001,0,0.005729499688,0,0,-1,3.99072745679547
4.2924003136,-0.001,0,0.0057075996864,0,0,-1,3.98907469810322
4.3143003152,-0.001,0,0.0056856996848,0,0,-1,3.98742193941097
4.3362003168,-0.001,0,0.0056637996832,0,0,-1,3.98576918071871
4.3581003184,-0.001,0,0.0056418996816,0,0,-1,3.98411642202646
4.38000032,-0.001,0,0.00561999968,0,0,-1,3.98884835694372
4.4019003216,-0.001,0,0.0055980996784,0,0,-1,3.98376653160352
4.4238003232,-0.001,0,0.0055761996768,0,0,-1,3.97868470626332
4.4457003248,-0.001,0,0.0055542996752,0,0,-1,3.97360288092312
4.4676003264,-0.001,0,0.0055323996736,0,0,-1,3.96852105558292
4.489500328,-0.001,0,0.005510499672,0,0,-1,3.96343923024273
4.5114003296,-0.001,0,0.0054885996704,0,0,-1,3.95835740490253
4.5333003312,-0.001,0,0.0054666996688,0,0,-1,3.95327557956233
